Domain Code,Domain,Area Code (M49),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Element Code,Element,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2008","2008","6121","Value","3023","Labour force survey","%","15988","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2009","2009","6121","Value","3023","Labour force survey","%","15913","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2010","2010","6121","Value","3023","Labour force survey","%","15777","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2011","2011","6121","Value","3023","Labour force survey","%","15344","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2012","2012","6121","Value","3023","Labour force survey","%","15279","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2013","2013","6121","Value","3023","Labour force survey","%","14774","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2014","2014","6121","Value","3023","Labour force survey","%","14819","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2015","2015","6121","Value","3023","Labour force survey","%","14691","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2016","2016","6121","Value","3023","Labour force survey","%","13894","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2017","2017","6121","Value","3023","Labour force survey","%","13850","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2018","2018","6121","Value","3023","Labour force survey","%","13754","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2019","2019","6121","Value","3023","Labour force survey","%","13883","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2020","2020","6121","Value","3023","Labour force survey","%","14125","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2021","2021","6121","Value","3023","Labour force survey","%","13510","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2022","2022","6121","Value","3023","Labour force survey","%","14052","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
